date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:53	147429/147429	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:26%20GMT	https://twitter-trends.iamrohit.in/singapore	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/singapore.html	(from https://twitter-trends.iamrohit.in/)
14:40:54	147920/147920	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:27%20GMT	https://twitter-trends.iamrohit.in/south-africa	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/south-africa.html	(from https://twitter-trends.iamrohit.in/)
14:40:54	148145/148145	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:27%20GMT	https://twitter-trends.iamrohit.in/spain	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/spain.html	(from https://twitter-trends.iamrohit.in/)
14:40:55	148274/148274	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:28%20GMT	https://twitter-trends.iamrohit.in/sweden	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/sweden.html	(from https://twitter-trends.iamrohit.in/)
14:40:55	147791/147791	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:28%20GMT	https://twitter-trends.iamrohit.in/switzerland	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/switzerland.html	(from https://twitter-trends.iamrohit.in/)
14:40:55	154564/154564	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:29%20GMT	https://twitter-trends.iamrohit.in/thailand	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/thailand.html	(from https://twitter-trends.iamrohit.in/)
14:40:56	142550/142550	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:29%20GMT	https://twitter-trends.iamrohit.in/turkey	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/turkey.html	(from https://twitter-trends.iamrohit.in/)
14:40:56	150345/150345	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:29%20GMT	https://twitter-trends.iamrohit.in/ukraine	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/ukraine.html	(from https://twitter-trends.iamrohit.in/)
14:40:57	149878/149878	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:30%20GMT	https://twitter-trends.iamrohit.in/united-arab-emirates	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/united-arab-emirates.html	(from https://twitter-trends.iamrohit.in/)
14:40:57	148089/148089	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Dec%202021%2009:10:30%20GMT	https://twitter-trends.iamrohit.in/united-kingdom	C:/My%20Web%20Sites/TWITTER/twitter-trends.iamrohit.in/united-kingdom.html	(from https://twitter-trends.iamrohit.in/)
